"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"MELIACEAE","Cabralea canjerana (Vell.)  Mart.","canjarana",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELIACEAE","Cedrela fissilis Vell.","cedro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELIACEAE","Cedrela odorata  L.*","cedro-do-brejo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MELIACEAE","Guarea  macrophylla subsp. Tuberculata (Vahl)  T.D.Penn.","marinheiro-do-brejo",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MONIMIACEAE","Mollinedia micrantha Perkins*","pimentinha","41102","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MONIMIACEAE","Mollinedia schottiana (Spreng.) Perkins*",NA,"41100","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"MORACEAE","Brosimum gaudichaudii Trécul*","mama-de-cadela",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MORACEAE","Ficus luschnathiana (Miq.) Miq.","figueira-vermelha",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MORACEAE","Ficus sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MORACEAE","Maclura tinctoria (L.)  D.Don.  ex  Steud. subsp. Tinctoria*","taiúva",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MORACEAE","Sorocea  bonplandii  (Baill.)  Burger,  Lanj.  & Wess.Boer*","canxim",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"MYRSINACEAE","Cybianthus densicomus Mart.",NA,"41127,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
